Name,Type,Equipment,Muscle Group
Barbell Back Squat,Weight,Barbell,Legs
Barbell Deadlift,Weight,Barbell,Back / Legs
Barbell Romanian Deadlift,Weight,Barbell,Legs
Barbell Hip Thrust,Weight,Barbell,Legs
Barbell Bench Press,Weight,Barbell,Chest
Incline Barbell Press,Weight,Barbell,Chest
Barbell Overhead Press,Weight,Barbell,Shoulders
Barbell Row,Weight,Barbell,Back
Barbell Curl,Weight,Barbell,Arms
Close-Grip Bench Press,Weight,Barbell,Arms
Skull Crusher,Weight,Barbell,Arms
Barbell Shrug,Weight,Barbell,Back
Dumbbell Bench Press,Weight,Dumbbell,Chest
Incline Dumbbell Press,Weight,Dumbbell,Chest
Dumbbell Flyes,Weight,Dumbbell,Chest
Dumbbell Shoulder Press,Weight,Dumbbell,Shoulders
Dumbbell Lateral Raise,Weight,Dumbbell,Shoulders
Dumbbell Front Raise,Weight,Dumbbell,Shoulders
Dumbbell Rear Delt Fly,Weight,Dumbbell,Shoulders
Arnold Press,Weight,Dumbbell,Shoulders
Dumbbell Row,Weight,Dumbbell,Back
Dumbbell Curl,Weight,Dumbbell,Arms
Hammer Curl,Weight,Dumbbell,Arms
Concentration Curl,Weight,Dumbbell,Arms
Dumbbell Overhead Tricep Extension,Weight,Dumbbell,Arms
Dumbbell Kickback,Weight,Dumbbell,Arms
Dumbbell Lunge,Weight,Dumbbell,Legs
Dumbbell Romanian Deadlift,Weight,Dumbbell,Legs
Dumbbell Shrug,Weight,Dumbbell,Back
Dumbbell Pullover,Weight,Dumbbell,Chest
Dumbbell Reverse Lunge,Weight,Dumbbell,Legs
Single-Leg Romanian Deadlift,Weight,Dumbbell,Legs
Chest Press Machine,Weight,Machine,Chest
Pec Deck / Fly Machine,Weight,Machine,Chest
Leg Press,Weight,Machine,Legs
Leg Extension,Weight,Machine,Legs
Leg Curl,Weight,Machine,Legs
Calf Raise Machine,Weight,Machine,Legs
Adductor Machine,Weight,Machine,Legs
Abductor Machine,Weight,Machine,Legs
Shoulder Press Machine,Weight,Machine,Shoulders
Reverse Pec Deck,Weight,Machine,Shoulders
Lat Pulldown,Weight,Machine / Cable,Back
Seated Cable Row,Weight,Cable,Back
T-Bar Row,Weight,Machine,Back
Tricep Pushdown,Weight,Cable,Arms
Cable Curl,Weight,Cable,Arms
Cable Crossover,Weight,Cable,Chest
Face Pull,Weight,Cable,Shoulders
Cable Lateral Raise,Weight,Cable,Shoulders
Cable Crunch,Weight,Cable,Core
Pallof Press,Weight,Cable,Core
Cable Woodchop,Weight,Cable,Core
Kettlebell Swing,Weight,Kettlebell,Legs / Back
Farmer's Carry,Weight,Kettlebell / Dumbbell,Full Body
Medicine Ball Rotational Slam,Weight,Medicine Ball,Core
Wrist Roller,Weight,Other,Arms
Pull-Up,Bodyweight,Bodyweight,Back
Chin-Up,Bodyweight,Bodyweight,Back
Inverted Row,Bodyweight,Bodyweight,Back
Push-Up,Bodyweight,Bodyweight,Chest
Wide Push-Up,Bodyweight,Bodyweight,Chest
Diamond Push-Up,Bodyweight,Bodyweight,Arms
Decline Push-Up,Bodyweight,Bodyweight,Chest
Pike Push-Up,Bodyweight,Bodyweight,Shoulders
Dip,Bodyweight,Bodyweight,Chest / Arms
Squat,Bodyweight,Bodyweight,Legs
Lunge,Bodyweight,Bodyweight,Legs
Reverse Lunge,Bodyweight,Bodyweight,Legs
Calf Raise,Bodyweight,Bodyweight,Legs
Crunch,Bodyweight,Bodyweight,Core
Bicycle Crunch,Bodyweight,Bodyweight,Core
Leg Raise,Bodyweight,Bodyweight,Core
Hanging Leg Raise,Bodyweight,Bodyweight,Core
Mountain Climber,Bodyweight,Bodyweight,Core
Superman,Bodyweight,Bodyweight,Back
Burpee,Bodyweight,Bodyweight,Full Body
Ab Wheel Rollout,Bodyweight,Bodyweight,Core
Plank,Isometric,Bodyweight,Core
Side Plank,Isometric,Bodyweight,Core
Wall Sit,Isometric,Bodyweight,Legs
Glute Bridge Hold,Isometric,Bodyweight,Legs
Dead Hang,Isometric,Bodyweight,Back
Hollow Body Hold,Isometric,Bodyweight,Core
L-Sit,Isometric,Bodyweight,Core
Flexed-Arm Hang,Isometric,Bodyweight,Arms
Run-Walk,Cardio,Cardio,Cardio
Rowing machine,Cardio,Cardio,Cardio
Stationary Bike,Cardio,Cardio,Cardio
